#,Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
152,Kabuto,30,80,90,55,45,55
153,Kabutops,60,115,105,65,70,80
154,Aerodactyl,80,105,65,60,75,130
155,Mega Aerodactyl,80,135,85,70,95,150
156,Snorlax,160,110,65,65,110,30
157,Articuno,90,85,100,95,125,85
158,Zapdos,90,90,85,125,90,100
159,Moltres,90,100,90,125,85,90
160,Dratini,41,64,45,50,50,50
161,Dragonair,61,84,65,70,70,70
162,Dragonite,91,134,95,100,100,80
163,Mewtwo,106,110,90,154,90,130
164,Mega Mewtwo X,106,190,100,154,100,130
165,Mega Mewtwo Y,106,150,70,194,120,140
166,Mew,100,100,100,100,100,100
167,Chikorita,45,49,65,49,65,45
168,Bayleef,60,62,80,63,80,60
169,Meganium,80,82,100,83,100,80
170,Cyndaquil,39,52,43,60,50,65
171,Quilava,58,64,58,80,65,80
172,Typhlosion,78,84,78,109,85,100
173,Totodile,50,65,64,44,48,43
174,Croconaw,65,80,80,59,63,58
175,Feraligatr,85,105,100,79,83,78
176,Sentret,35,46,34,35,45,20
177,Furret,85,76,64,45,55,90
178,Hoothoot,60,30,30,36,56,50
179,Noctowl,100,50,50,76,96,70
180,Ledyba,40,20,30,40,80,55
181,Ledian,55,35,50,55,110,85
182,Spinarak,40,60,40,40,40,30
183,Ariados,70,90,70,60,60,40
184,Crobat,85,90,80,70,80,130
185,Chinchou,75,38,38,56,56,67
186,Lanturn,125,58,58,76,76,67
187,Pichu,20,40,15,35,35,60
188,Cleffa,50,25,28,45,55,15
189,Igglybuff,90,30,15,40,20,15
190,Togepi,35,20,65,40,65,20
191,Togetic,55,40,85,80,105,40
192,Natu,40,50,45,70,45,70
193,Xatu,65,75,70,95,70,95
194,Mareep,55,40,40,65,45,35
195,Flaaffy,70,55,55,80,60,45
196,Ampharos,90,75,85,115,90,55
197,Mega Ampharos,90,95,105,165,110,45
198,Bellossom,75,80,95,90,100,50
199,Marill,70,20,50,20,50,40
200,Azumarill,100,50,80,60,80,50
201,Sudowoodo,70,100,115,30,65,30
202,Politoed,90,75,75,90,100,70
203,Hoppip,35,35,40,35,55,50
204,Skiploom,55,45,50,45,65,80
205,Jumpluff,75,55,70,55,95,110
206,Aipom,55,70,55,40,55,85
207,Sunkern,30,30,30,30,30,30
208,Sunflora,75,75,55,105,85,30
209,Yanma,65,65,45,75,45,95
210,Wooper,55,45,45,25,25,15
211,Quagsire,95,85,85,65,65,35
212,Espeon,65,65,60,130,95,110
213,Umbreon,95,65,110,60,130,65
214,Murkrow,60,85,42,85,42,91
215,Slowking,95,75,80,100,110,30
216,Misdreavus,60,60,60,85,85,85
217,Unown,48,72,48,72,48,48
218,Wobbuffet,190,33,58,33,58,33
219,Girafarig,70,80,65,90,65,85
220,Pineco,50,65,90,35,35,15
221,Forretress,75,90,140,60,60,40
222,Dunsparce,100,70,70,65,65,45
223,Gligar,65,75,105,35,65,85
224,Steelix,75,85,200,55,65,30
225,Mega Steelix,75,125,230,55,95,30
226,Snubbull,60,80,50,40,40,30
227,Granbull,90,120,75,60,60,45
228,Qwilfish,65,95,75,55,55,85
229,Scizor,70,130,100,55,80,65
230,Mega Scizor,70,150,140,65,100,75
231,Shuckle,20,10,230,10,230,5
232,Heracross,80,125,75,40,95,85
233,Mega Heracross,80,185,115,40,105,75
234,Sneasel,55,95,55,35,75,115
235,Teddiursa,60,80,50,50,50,40
236,Ursaring,90,130,75,75,75,55
237,Slugma,40,40,40,70,40,20
238,Magcargo,50,50,120,80,80,30
239,Swinub,50,50,40,30,30,50
240,Piloswine,100,100,80,60,60,50
241,Corsola,55,55,85,65,85,35
242,Remoraid,35,65,35,65,35,65
243,Octillery,75,105,75,105,75,45
244,Delibird,45,55,45,65,45,75
245,Mantine,65,40,70,80,140,70
246,Skarmory,65,80,140,40,70,70
247,Houndour,45,60,30,80,50,65
248,Houndoom,75,90,50,110,80,95
249,Mega Houndoom,75,90,90,140,90,115
250,Kingdra,75,95,95,95,95,85
251,Phanpy,90,60,60,40,40,40
252,Donphan,90,120,120,60,60,50
253,Porygon2,85,80,90,105,95,60
254,Stantler,73,95,62,85,65,85
255,Smeargle,55,20,35,20,45,75
256,Tyrogue,35,35,35,35,35,35
257,Hitmontop,50,95,95,35,110,70
258,Smoochum,45,30,15,85,65,65
259,Elekid,45,63,37,65,55,95
260,Magby,45,75,37,70,55,83
261,Miltank,95,80,105,40,70,100
262,Blissey,255,10,10,75,135,55
263,Raikou,90,85,75,115,100,115
264,Entei,115,115,85,90,75,100
265,Suicune,100,75,115,90,115,85
266,Larvitar,50,64,50,45,50,41
267,Pupitar,70,84,70,65,70,51
268,Tyranitar,100,134,110,95,100,61
269,Mega Tyranitar,100,164,150,95,120,71
270,Lugia,106,90,130,90,154,110
271,Ho-oh,106,130,90,110,154,90
272,Celebi,100,100,100,100,100,100
273,Treecko,40,45,35,65,55,70
274,Grovyle,50,65,45,85,65,95
275,Sceptile,70,85,65,105,85,120
276,Mega Sceptile,70,110,75,145,85,145
277,Torchic,45,60,40,70,50,45
278,Combusken,60,85,60,85,60,55
279,Blaziken,80,120,70,110,70,80
280,Mega Blaziken,80,160,80,130,80,100
281,Mudkip,50,70,50,50,50,40
282,Marshtomp,70,85,70,60,70,50
283,Swampert,100,110,90,85,90,60
284,Mega Swampert,100,150,110,95,110,70
285,Poochyena,35,55,35,30,30,35
286,Mightyena,70,90,70,60,60,70
287,Zigzagoon,38,30,41,30,41,60
288,Linoone,78,70,61,50,61,100
289,Wurmple,45,45,35,20,30,20
290,Silcoon,50,35,55,25,25,15
291,Beautifly,60,70,50,100,50,65
292,Cascoon,50,35,55,25,25,15
293,Dustox,60,50,70,50,90,65
294,Lotad,40,30,30,40,50,30
295,Lombre,60,50,50,60,70,50
296,Ludicolo,80,70,70,90,100,70
297,Seedot,40,40,50,30,30,30
298,Nuzleaf,70,70,40,60,40,60
299,Shiftry,90,100,60,90,60,80
300,Taillow,40,55,30,30,30,85
301,Swellow,60,85,60,50,50,125
302,Wingull,40,30,30,55,30,85
303,Pelipper,60,50,100,85,70,65
304,Ralts,28,25,25,45,35,40
305,Kirlia,38,35,35,65,55,50
306,Gardevoir,68,65,65,125,115,80
307,Mega Gardevoir,68,85,65,165,135,100
308,Surskit,40,30,32,50,52,65
309,Masquerain,70,60,62,80,82,60
310,Shroomish,60,40,60,40,60,35
311,Breloom,60,130,80,60,60,70
312,Slakoth,60,60,60,35,35,30
313,Vigoroth,80,80,80,55,55,90
314,Slaking,150,160,100,95,65,100
315,Nincada,31,45,90,30,30,40
316,Ninjask,61,90,45,50,50,160
317,Shedinja,1,90,45,30,30,40
318,Whismur,64,51,23,51,23,28
319,Loudred,84,71,43,71,43,48
320,Exploud,104,91,63,91,73,68
321,Makuhita,72,60,30,20,30,25
322,Hariyama,144,120,60,40,60,50
323,Azurill,50,20,40,20,40,20
324,Nosepass,30,45,135,45,90,30
325,Skitty,50,45,45,35,35,50
326,Delcatty,70,65,65,55,55,70
327,Sableye,50,75,75,65,65,50
328,Mega Sableye,50,85,125,85,115,20
329,Mawile,50,85,85,55,55,50
330,Mega Mawile,50,105,125,55,95,50
331,Aron,50,70,100,40,40,30
332,Lairon,60,90,140,50,50,40
333,Aggron,70,110,180,60,60,50
334,Mega Aggron,70,140,230,60,80,50
335,Meditite,30,40,55,40,55,60
336,Medicham,60,60,75,60,75,80
337,Mega Medicham,60,100,85,80,85,100
338,Electrike,40,45,40,65,40,65
339,Manectric,70,75,60,105,60,105
340,Mega Manectric,70,75,80,135,80,135
341,Plusle,60,50,40,85,75,95
342,Minun,60,40,50,75,85,95
343,Volbeat,65,73,55,47,75,85
344,Illumise,65,47,55,73,75,85
345,Roselia,50,60,45,100,80,65
346,Gulpin,70,43,53,43,53,40
347,Swalot,100,73,83,73,83,55
348,Carvanha,45,90,20,65,20,65
349,Sharpedo,70,120,40,95,40,95
350,Mega Sharpedo,70,140,70,110,65,105
351,Wailmer,130,70,35,70,35,60
352,Wailord,170,90,45,90,45,60
353,Numel,60,60,40,65,45,35
354,Camerupt,70,100,70,105,75,40
355,Mega Camerupt,70,120,100,145,105,20
356,Torkoal,70,85,140,85,70,20
357,Spoink,60,25,35,70,80,60
358,Grumpig,80,45,65,90,110,80
359,Spinda,60,60,60,60,60,60
360,Trapinch,45,100,45,45,45,10
361,Vibrava,50,70,50,50,50,70
362,Flygon,80,100,80,80,80,100
363,Cacnea,50,85,40,85,40,35
364,Cacturne,70,115,60,115,60,55
365,Swablu,45,40,60,40,75,50
366,Altaria,75,70,90,70,105,80
367,Mega Altaria,75,110,110,110,105,80
368,Zangoose,73,115,60,60,60,90
369,Seviper,73,100,60,100,60,65
370,Lunatone,70,55,65,95,85,70
371,Solrock,70,95,85,55,65,70
372,Barboach,50,48,43,46,41,60
373,Whiscash,110,78,73,76,71,60
374,Corphish,43,80,65,50,35,35
375,Crawdaunt,63,120,85,90,55,55
376,Baltoy,40,40,55,40,70,55
377,Claydol,60,70,105,70,120,75
378,Lileep,66,41,77,61,87,23
379,Cradily,86,81,97,81,107,43
380,Anorith,45,95,50,40,50,75
381,Armaldo,75,125,100,70,80,45
382,Feebas,20,15,20,10,55,80
383,Milotic,95,60,79,100,125,81
384,Castform,70,70,70,70,70,70
385,Kecleon,60,90,70,60,120,40
386,Shuppet,44,75,35,63,33,45
387,Banette,64,115,65,83,63,65
388,Mega Banette,64,165,75,93,83,75
389,Duskull,20,40,90,30,90,25
390,Dusclops,40,70,130,60,130,25
391,Tropius,99,68,83,72,87,51
392,Chimecho,65,50,70,95,80,65
393,Absol,65,130,60,75,60,75
394,Mega Absol,65,150,60,115,60,115
395,Wynaut,95,23,48,23,48,23
396,Snorunt,50,50,50,50,50,50
397,Glalie,80,80,80,80,80,80
398,Mega Glalie,80,120,80,120,80,100
399,Spheal,70,40,50,55,50,25
400,Sealeo,90,60,70,75,70,45
401,Walrein,110,80,90,95,90,65
402,Clamperl,35,64,85,74,55,32
403,Huntail,55,104,105,94,75,52
404,Gorebyss,55,84,105,114,75,52
405,Relicanth,100,90,130,45,65,55
406,Luvdisc,43,30,55,40,65,97
407,Bagon,45,75,60,40,30,50
408,Shelgon,65,95,100,60,50,50
409,Salamence,95,135,80,110,80,100
410,Mega Salamence,95,145,130,120,90,120
411,Beldum,40,55,80,35,60,30
412,Metang,60,75,100,55,80,50
413,Metagross,80,135,130,95,90,70
414,Mega Metagross,80,145,150,105,110,110
415,Regirock,80,100,200,50,100,50
416,Regice,80,50,100,100,200,50
417,Registeel,80,75,150,75,150,50
418,Latias,80,80,90,110,130,110
419,Mega Latias,80,100,120,140,150,110
420,Latios,80,90,80,130,110,110
421,Mega Latios,80,130,100,160,120,110
422,Kyogre,100,100,90,150,140,90
423,Primal Kyogre,100,150,90,180,160,90
424,Groudon,100,150,140,100,90,90
425,Primal Groudon,100,180,160,150,90,90
426,Rayquaza,105,150,90,150,90,95
427,Mega Rayquaza,105,180,100,180,100,115
428,Jirachi,100,100,100,100,100,100
429,Deoxys Normal Forme,50,150,50,150,50,150
430,DeoxysAttack Forme,50,180,20,180,20,150
431,Deoxys Defense Forme,50,70,160,70,160,90
432,Deoxys Speed Forme,50,95,90,95,90,180
433,Turtwig,55,68,64,45,55,31
434,Grotle,75,89,85,55,65,36
435,Torterra,95,109,105,75,85,56
436,Chimchar,44,58,44,58,44,61
437,Monferno,64,78,52,78,52,81
438,Infernape,76,104,71,104,71,108
439,Piplup,53,51,53,61,56,40
440,Prinplup,64,66,68,81,76,50
441,Empoleon,84,86,88,111,101,60
442,Starly,40,55,30,30,30,60
443,Staravia,55,75,50,40,40,80
444,Staraptor,85,120,70,50,60,100
445,Bidoof,59,45,40,35,40,31
446,Bibarel,79,85,60,55,60,71
447,Kricketot,37,25,41,25,41,25
448,Kricketune,77,85,51,55,51,65
449,Shinx,45,65,34,40,34,45
450,Luxio,60,85,49,60,49,60
451,Luxray,80,120,79,95,79,70
452,Budew,40,30,35,50,70,55
453,Roserade,60,70,65,125,105,90
454,Cranidos,67,125,40,30,30,58
455,Rampardos,97,165,60,65,50,58
456,Shieldon,30,42,118,42,88,30
457,Bastiodon,60,52,168,47,138,30
458,Burmy,40,29,45,29,45,36
459,Wormadam Plant Cloak,60,59,85,79,105,36
460,Wormadam Sandy Cloak,60,79,105,59,85,36
461,Wormadam Trash Cloak,60,69,95,69,95,36
462,Mothim,70,94,50,94,50,66
463,Combee,30,30,42,30,42,70
464,Vespiquen,70,80,102,80,102,40
465,Pachirisu,60,45,70,45,90,95
466,Buizel,55,65,35,60,30,85
467,Floatzel,85,105,55,85,50,115
468,Cherubi,45,35,45,62,53,35
469,Cherrim,70,60,70,87,78,85
470,Shellos,76,48,48,57,62,34
471,Gastrodon,111,83,68,92,82,39
472,Ambipom,75,100,66,60,66,115
473,Drifloon,90,50,34,60,44,70
474,Drifblim,150,80,44,90,54,80
475,Buneary,55,66,44,44,56,85
476,Lopunny,65,76,84,54,96,105
477,Mega Lopunny,65,136,94,54,96,135
478,Mismagius,60,60,60,105,105,105
479,Honchkrow,100,125,52,105,52,71
480,Glameow,49,55,42,42,37,85
481,Purugly,71,82,64,64,59,112
482,Chingling,45,30,50,65,50,45
483,Stunky,63,63,47,41,41,74
484,Skuntank,103,93,67,71,61,84
485,Bronzor,57,24,86,24,86,23
486,Bronzong,67,89,116,79,116,33
487,Bonsly,50,80,95,10,45,10
488,Mime Jr.,20,25,45,70,90,60
489,Happiny,100,5,5,15,65,30
490,Chatot,76,65,45,92,42,91
491,Spiritomb,50,92,108,92,108,35
492,Gible,58,70,45,40,45,42
493,Gabite,68,90,65,50,55,82
494,Garchomp,108,130,95,80,85,102
495,Mega Garchomp,108,170,115,120,95,92
496,Munchlax,135,85,40,40,85,5
497,Riolu,40,70,40,35,40,60
498,Lucario,70,110,70,115,70,90
499,Mega Lucario,70,145,88,140,70,112
500,Hippopotas,68,72,78,38,42,32
501,Hippowdon,108,112,118,68,72,47
502,Skorupi,40,50,90,30,55,65
503,Drapion,70,90,110,60,75,95
504,Croagunk,48,61,40,61,40,50
505,Toxicroak,83,106,65,86,65,85
506,Carnivine,74,100,72,90,72,46
507,Finneon,49,49,56,49,61,66
508,Lumineon,69,69,76,69,86,91
509,Mantyke,45,20,50,60,120,50
510,Snover,60,62,50,62,60,40
511,Abomasnow,90,92,75,92,85,60
512,Mega Abomasnow,90,132,105,132,105,30
513,Weavile,70,120,65,45,85,125
514,Magnezone,70,70,115,130,90,60
515,Lickilicky,110,85,95,80,95,50
516,Rhyperior,115,140,130,55,55,40
517,Tangrowth,100,100,125,110,50,50
518,Electivire,75,123,67,95,85,95
519,Magmortar,75,95,67,125,95,83
520,Togekiss,85,50,95,120,115,80
521,Yanmega,86,76,86,116,56,95
522,Leafeon,65,110,130,60,65,95
523,Glaceon,65,60,110,130,95,65
524,Gliscor,75,95,125,45,75,95
525,Mamoswine,110,130,80,70,60,80
526,Porygon-Z,85,80,70,135,75,90
527,Gallade,68,125,65,65,115,80
528,Mega Gallade,68,165,95,65,115,110
529,Probopass,60,55,145,75,150,40
530,Dusknoir,45,100,135,65,135,45
531,Froslass,70,80,70,80,70,110
532,Rotom,50,50,77,95,77,91
533,Heat Rotom,50,65,107,105,107,86
534,Wash Rotom,50,65,107,105,107,86
535,Frost Rotom,50,65,107,105,107,86
536,Fan Rotom,50,65,107,105,107,86
537,Mow Rotom,50,65,107,105,107,86
538,Uxie,75,75,130,75,130,95
539,Mesprit,80,105,105,105,105,80
540,Azelf,75,125,70,125,70,115
541,Dialga,100,120,120,150,100,90
542,Palkia,90,120,100,150,120,100
543,Heatran,91,90,106,130,106,77
544,Regigigas,110,160,110,80,110,100
545,Giratina Altered Forme,150,100,120,100,120,90
546,Giratina Origin Forme,150,120,100,120,100,90
547,Cresselia,120,70,120,75,130,85
548,Phione,80,80,80,80,80,80
549,Manaphy,100,100,100,100,100,100
550,Darkrai,70,90,90,135,90,125
551,Shaymin Land Forme,100,100,100,100,100,100
552,Shaymin Sky Forme,100,103,75,120,75,127
553,Arceus,120,120,120,120,120,120
554,Victini,100,100,100,100,100,100
555,Snivy,45,45,55,45,55,63
556,Servine,60,60,75,60,75,83
557,Serperior,75,75,95,75,95,113
558,Tepig,65,63,45,45,45,45
559,Pignite,90,93,55,70,55,55
560,Emboar,110,123,65,100,65,65
561,Oshawott,55,55,45,63,45,45
562,Dewott,75,75,60,83,60,60
563,Samurott,95,100,85,108,70,70
564,Patrat,45,55,39,35,39,42
565,Watchog,60,85,69,60,69,77
566,Lillipup,45,60,45,25,45,55
567,Herdier,65,80,65,35,65,60
568,Stoutland,85,110,90,45,90,80
569,Purrloin,41,50,37,50,37,66
570,Liepard,64,88,50,88,50,106
571,Pansage,50,53,48,53,48,64
572,Simisage,75,98,63,98,63,101
573,Pansear,50,53,48,53,48,64
574,Simisear,75,98,63,98,63,101
575,Panpour,50,53,48,53,48,64
576,Simipour,75,98,63,98,63,101
577,Munna,76,25,45,67,55,24
578,Musharna,116,55,85,107,95,29
579,Pidove,50,55,50,36,30,43
580,Tranquill,62,77,62,50,42,65
581,Unfezant,80,115,80,65,55,93
582,Blitzle,45,60,32,50,32,76
583,Zebstrika,75,100,63,80,63,116
584,Roggenrola,55,75,85,25,25,15
585,Boldore,70,105,105,50,40,20
586,Gigalith,85,135,130,60,80,25
587,Woobat,55,45,43,55,43,72
588,Swoobat,67,57,55,77,55,114
589,Drilbur,60,85,40,30,45,68
590,Excadrill,110,135,60,50,65,88
591,Audino,103,60,86,60,86,50
592,Mega Audino,103,60,126,80,126,50
593,Timburr,75,80,55,25,35,35
594,Gurdurr,85,105,85,40,50,40
595,Conkeldurr,105,140,95,55,65,45
596,Tympole,50,50,40,50,40,64
597,Palpitoad,75,65,55,65,55,69
598,Seismitoad,105,95,75,85,75,74
599,Throh,120,100,85,30,85,45
600,Sawk,75,125,75,30,75,85
601,Sewaddle,45,53,70,40,60,42
602,Swadloon,55,63,90,50,80,42
603,Leavanny,75,103,80,70,80,92
604,Venipede,30,45,59,30,39,57
605,Whirlipede,40,55,99,40,79,47
606,Scolipede,60,100,89,55,69,112
607,Cottonee,40,27,60,37,50,66
608,Whimsicott,60,67,85,77,75,116
609,Petilil,45,35,50,70,50,30
610,Lilligant,70,60,75,110,75,90
611,Basculin,70,92,65,80,55,98
612,Sandile,50,72,35,35,35,65
613,Krokorok,60,82,45,45,45,74
614,Krookodile,95,117,80,65,70,92
615,Darumaka,70,90,45,15,45,50
616,Darmanitan Standard Mode,105,140,55,30,55,95
617,Darmanitan Zen Mode,105,30,105,140,105,55
618,Maractus,75,86,67,106,67,60
619,Dwebble,50,65,85,35,35,55
620,Crustle,70,95,125,65,75,45
621,Scraggy,50,75,70,35,70,48
622,Scrafty,65,90,115,45,115,58
623,Sigilyph,72,58,80,103,80,97
624,Yamask,38,30,85,55,65,30
625,Cofagrigus,58,50,145,95,105,30
626,Tirtouga,54,78,103,53,45,22
627,Carracosta,74,108,133,83,65,32
628,Archen,55,112,45,74,45,70
629,Archeops,75,140,65,112,65,110
630,Trubbish,50,50,62,40,62,65
631,Garbodor,80,95,82,60,82,75
632,Zorua,40,65,40,80,40,65
633,Zoroark,60,105,60,120,60,105
634,Minccino,55,50,40,40,40,75
635,Cinccino,75,95,60,65,60,115
636,Gothita,45,30,50,55,65,45
637,Gothorita,60,45,70,75,85,55
638,Gothitelle,70,55,95,95,110,65
639,Solosis,45,30,40,105,50,20
640,Duosion,65,40,50,125,60,30
641,Reuniclus,110,65,75,125,85,30
642,Ducklett,62,44,50,44,50,55
643,Swanna,75,87,63,87,63,98
644,Vanillite,36,50,50,65,60,44
645,Vanillish,51,65,65,80,75,59
646,Vanilluxe,71,95,85,110,95,79
647,Deerling,60,60,50,40,50,75
648,Sawsbuck,80,100,70,60,70,95
649,Emolga,55,75,60,75,60,103
650,Karrablast,50,75,45,40,45,60
651,Escavalier,70,135,105,60,105,20
652,Foongus,69,55,45,55,55,15
653,Amoonguss,114,85,70,85,80,30
654,Frillish,55,40,50,65,85,40
655,Jellicent,100,60,70,85,105,60
656,Alomomola,165,75,80,40,45,65
657,Joltik,50,47,50,57,50,65
658,Galvantula,70,77,60,97,60,108
659,Ferroseed,44,50,91,24,86,10
660,Ferrothorn,74,94,131,54,116,20
661,Klink,40,55,70,45,60,30
662,Klang,60,80,95,70,85,50
663,Klinklang,60,100,115,70,85,90
664,Tynamo,35,55,40,45,40,60
665,Eelektrik,65,85,70,75,70,40
666,Eelektross,85,115,80,105,80,50
667,Elgyem,55,55,55,85,55,30
668,Beheeyem,75,75,75,125,95,40
669,Litwick,50,30,55,65,55,20
670,Lampent,60,40,60,95,60,55
671,Chandelure,60,55,90,145,90,80
672,Axew,46,87,60,30,40,57
673,Fraxure,66,117,70,40,50,67
674,Haxorus,76,147,90,60,70,97
675,Cubchoo,55,70,40,60,40,40
676,Beartic,95,110,80,70,80,50
677,Cryogonal,70,50,30,95,135,105
678,Shelmet,50,40,85,40,65,25
679,Accelgor,80,70,40,100,60,145
680,Stunfisk,109,66,84,81,99,32
681,Mienfoo,45,85,50,55,50,65
682,Mienshao,65,125,60,95,60,105
683,Druddigon,77,120,90,60,90,48
684,Golett,59,74,50,35,50,35
685,Golurk,89,124,80,55,80,55
686,Pawniard,45,85,70,40,40,60
687,Bisharp,65,125,100,60,70,70
688,Bouffalant,95,110,95,40,95,55
689,Rufflet,70,83,50,37,50,60
690,Braviary,100,123,75,57,75,80
691,Vullaby,70,55,75,45,65,60
692,Mandibuzz,110,65,105,55,95,80
693,Heatmor,85,97,66,105,66,65
694,Durant,58,109,112,48,48,109
695,Deino,52,65,50,45,50,38
